caseId,intensityMode,foEsExcessOverIriEMHz,foEsSigmaMHz,reflectivity,noiseStd,taskMode,optimizerSeed,scenarioSeed,foE_IRI,foE_obs,foEs_obs,df_coarse,targetStartMHz,targetEndMHz,cfgStartMHz,cfgEndMHz,fixedErr,dfMHz,PRP,chipLength,Ncoh,codeType,codeLength,nFreq,scanTimeSec,heightResolutionKm,hAmbKm,dutyRatio,integrationGainDb,observabilityScore,resolutionCost,complexityCost,feasible,optimizationFeasible,constraintViolation,nPareto,nOptimizationFeasible,selectedLexicographicRank
1,weak,0.35,0.55,0.65,0.024,fast,20260515,3101,8.20329518952751,8.5,8.5,0.25,7.70329518952751,8.75,7.70329518952751,8.75,0,0.24674699311423,0.008,1.19080212983892e-05,6,barker,13,5,0.24,1.78496748748022,1199.169832,0.0193505346098824,18.9209460269048,0.815781859064629,0.815783976068477,0.00375,1,1,0,6,11,1
2,weak,0.35,0.55,0.65,0.024,weakEs,20260515,3101,8.20329518952751,8.5,8.5,0.25,7.70329518952751,8.75,7.70329518952751,8.75,0,0.05,0.00722795946348935,1.2e-05,28,barker,13,21,4.25004016453174,1.798754748,1083.44386694192,0.0215828548552332,25.6110138364906,0.757929559749326,0.553312001071429,0.0175,1,1,0.180566712369927,1,3,1
3,strong,1.5,1.1,1.3,0.014,fast,20260515,3101,8.20329518952751,10.25,10.25,0.25,7.70329518952751,10.5,7.70329518952751,10.5,0,0.24674699311423,0.008,1.19080212983892e-05,6,barker,13,12,0.576,1.78496748748022,1199.169832,0.0193505346098824,18.9209460269048,0.815781859064629,0.815783976068477,0.00375,1,1,0.0472727272727273,3,5,1
4,strong,1.5,1.1,1.3,0.014,weakEs,20260515,3101,8.20329518952751,10.25,10.25,0.25,7.70329518952751,10.5,7.70329518952751,10.5,0,0.109043514949446,0.00880454502567493,1.15689644799142e-05,14,barker,13,26,3.20485438934568,1.73414414897408,1319.76809740938,0.0170816933527301,22.6007138798507,0.542908134275053,0.750721155855717,0.00875,1,0,0.177091865724947,0,0,NaN
