variant,intensityMode,taskMode,scenarioSeed,optimizerSeed,fixedErr,dfMHz,scanTimeSec,nFreq,heightResolutionKm,integrationGainDb,observabilityScore,optimizationFeasible,constraintViolation
full_system,weak,fast,3101,20260515,0,0.243409198590155,0.202523401123404,5,2.92650961860186,18.9209460269048,0.815781859064629,1,0
full_system,weak,foEs,3101,20260515,0,0.02,1.16912259460595,26,1.49801606346039,18.9209460269048,0.708639001921772,1,0
full_system,weak,hEs,3101,20260515,0,0.0928897446189747,0.928266034094006,12,1.22267674829631,20.1703333929878,0.655023813784843,1,0
full_system,weak,weakEs,3101,20260515,0,0.0938787691701955,5.16663797782066,12,2.42181495449346,27.6909333062674,0.906495236161959,1,0.435177216061294
full_system,weak,full_trace,3101,20260515,0,0.0428546008481148,3.61792478087258,25,1.199169832,24.1497334797082,0.832123819979156,1,0
full_system,weak,balanced,3101,20260515,0,0.0883920893990346,1.08301973689968,12,1.20061872062937,21.9312459835446,0.70937471311033,1,0
full_system,weak,fast,3101,20260516,0,0.241111529046137,0.202656259403054,5,3.7565200591003,18.9209460269048,0.815781859064629,1,0
full_system,weak,foEs,3101,20260516,0,0.02,1.19624095072368,26,1.199169832,18.9209460269048,0.708639001921772,1,0
full_system,weak,hEs,3101,20260516,0,0.0805330440579702,2.05190453924171,13,1.199169832,23.1806333496276,0.870045239259115,1,0
full_system,weak,weakEs,3101,20260516,0,0.0773901939770874,3.58624504183188,14,1.59231647285175,25.910646070265,0.779331862161785,1,0
full_system,weak,full_trace,3101,20260516,0,0.0308720626725507,3.87389330741844,34,1.65681342444331,22.6007138798507,0.721479562846482,1,0
full_system,weak,balanced,3101,20260516,0,0.0917450335864279,0.853247655544234,12,1.199169832,21.1394335230684,0.652816680219169,1,0
full_system,weak,fast,3101,20260517,0,0.245590091989582,0.203059736848931,5,2.02602108305953,18.9209460269048,0.815781859064629,1,0
full_system,weak,foEs,3101,20260517,0,0.02,1.14806287003517,26,2.18688121724223,18.9209460269048,0.708639001921772,1,0
full_system,weak,hEs,3101,20260517,0,0.0899907028300574,1.39582660296381,12,1.28198442267423,21.1394335230684,0.724245251647741,1,0
full_system,weak,weakEs,3101,20260517,0,0.0942697590484342,5.07200512813407,12,2.76443048425089,28.0127801399814,0.92948429571296,1,0.408890313370576
full_system,weak,full_trace,3101,20260517,0,0.0485673259348102,2.55424465611104,22,1.38967848004995,22.6007138798507,0.721479562846482,1,0
full_system,weak,balanced,3101,20260517,0,0.0920046964449701,0.917018098204882,12,1.24461984983026,21.1394335230684,0.652816680219169,1,0
